Date,Open,High,Low,Close,Adj Close,Volume,ndx_ma1,ndx_ma2,ndx_ma3,ndx_ma4,ndx_ma5,ndx_ma6,ndx_ma7,ndx_ma8,ndx_ma9,ndx_ma10,ndx_ma14,ndx_ma21,ndx_ma28
2020-03-04,8949.2802734375,8949.2802734375,8949.2802734375,8949.2802734375,8949.2802734375,0,8949.2802734375,8771.88525390625,8807.250325520834,8720.895263671875,8664.0501953125,8699.001790364584,8718.411551339286,8763.563842773438,8839.466796875,8918.303125,9125.060128348214,8731.209147135416,8370.793648856026
2020-03-05,8671.66015625,8671.66015625,8671.66015625,8671.66015625,8671.66015625,0,8671.66015625,8810.47021484375,8738.476888020834,8773.352783203125,8711.0482421875,8665.318522135416,8695.09584263393,8712.567626953125,8753.352322048611,8822.6861328125,9059.05726841518,8811.858677455357,8417.042218889508
2020-03-09,7948.02978515625,7948.02978515625,7948.02978515625,7948.02978515625,7948.02978515625,0,7948.02978515625,8309.844970703125,8522.990071614584,8540.865112304688,8608.28818359375,8583.878499348959,8562.848702566964,8601.712585449219,8627.618977864584,8672.820068359375,8939.375104631696,8849.062476748511,8434.79256766183
2020-03-10,8372.26953125,8372.26953125,8372.26953125,8372.26953125,8372.26953125,0,8372.26953125,8160.149658203125,8330.653157552084,8485.309936523438,8507.14599609375,8568.951741536459,8553.648646763393,8539.026306152344,8576.218912760416,8602.084033203126,8849.551513671875,8903.889601934523,8472.8046875
2020-03-11,8006.1201171875,8006.1201171875,8006.1201171875,8006.1201171875,8006.1201171875,0,8006.1201171875,8189.19482421875,8108.806477864583,8249.519897460938,8389.47197265625,8423.641682942709,8488.54722377232,8485.207580566406,8479.814507378473,8519.209033203126,8727.222202845982,8931.929129464286,8497.988978794643
2020-03-12,7263.64990234375,7263.64990234375,7263.64990234375,7263.64990234375,7263.64990234375,0,7263.64990234375,7634.885009765625,7880.679850260417,7897.517333984375,8052.3458984375,8201.8349609375,8257.92857142857,8335.43505859375,8349.478949652777,8358.198046875,8558.35219029018,8911.601515997023,8499.660051618304
2020-03-13,7995.259765625,7995.259765625,7995.259765625,7995.259765625,7995.259765625,0,7995.259765625,7629.454833984375,7755.009928385417,7909.3248291015625,7917.0658203125,8042.83154296875,8172.32421875,8225.094970703125,8297.637803819445,8314.05703125,8454.67857142857,8839.096726190477,8526.440761021206
2020-03-16,7020.3798828125,7020.3798828125,7020.3798828125,7020.3798828125,7020.3798828125,0,7020.3798828125,7507.81982421875,7426.429850260417,7571.3524169921875,7731.53583984375,7767.6181640625,7896.767020089285,8028.3311767578125,8091.237738715277,8169.91201171875,8307.589285714286,8715.629092261905,8522.598615373883
2020-03-17,7473.9501953125,7473.9501953125,7473.9501953125,7473.9501953125,7473.9501953125,0,7473.9501953125,7247.1650390625,7496.529947916667,7438.3099365234375,7551.87197265625,7688.604899088542,7725.665597098215,7843.9149169921875,7966.733289930556,8029.508984375,8210.38071986607,8614.59337797619,8540.31040736607
2020-03-18,7175.18017578125,7175.18017578125,7175.18017578125,7175.18017578125,7175.18017578125,0,7175.18017578125,7324.565185546875,7223.170084635417,7416.1925048828125,7385.683984375,7489.090006510417,7615.258510044643,7656.854919433594,7769.611056857639,7887.577978515625,8089.053606305803,8498.002906436011,8540.611485072544
2020-03-19,7288.52001953125,7288.52001953125,7288.52001953125,7288.52001953125,7288.52001953125,0,7288.52001953125,7231.85009765625,7312.550130208333,7239.507568359375,7390.6580078125,7369.489990234375,7460.437151227678,7574.416198730469,7615.928819444444,7721.501953125,8007.042898995535,8386.513392857143,8543.026489257812
2020-03-20,6994.2900390625,6994.2900390625,6994.2900390625,6994.2900390625,6994.2900390625,0,6994.2900390625,7141.405029296875,7152.663411458333,7232.985107421875,7190.4640625,7324.5966796875,7315.889997209822,7402.168762207031,7509.957736545139,7553.76494140625,7902.218610491072,8256.778134300595,8527.91934640067
2020-03-23,7006.919921875,7006.919921875,7006.919921875,7006.919921875,7006.919921875,0,7006.919921875,7000.60498046875,7096.57666015625,7116.2275390625,7187.7720703125,7159.873372395833,7279.214285714285,7277.268737792969,7358.252224392361,7459.653955078125,7768.571428571428,8131.972888764881,8503.504708426339
2020-03-24,7553.81982421875,7553.81982421875,7553.81982421875,7553.81982421875,7553.81982421875,0,7553.81982421875,7280.369873046875,7185.009928385417,7210.887451171875,7203.74599609375,7248.780029296875,7216.151436941965,7313.539978027344,7307.996636284723,7377.808984375,7694.237827845982,8041.836193266369,8433.360403878349
2020-03-25,7469.6201171875,7469.6201171875,7469.6201171875,7469.6201171875,7469.6201171875,0,7469.6201171875,7511.719970703125,7343.453287760417,7256.1624755859375,7262.633984375,7248.058349609375,7280.32861328125,7247.835021972656,7330.882215711806,7324.158984375,7588.547816685268,7965.169061569941,8356.803972516742
2020-03-26,7897.1298828125,7897.1298828125,7897.1298828125,7897.1298828125,7897.1298828125,0,7897.1298828125,7683.375,7640.18994140625,7481.8724365234375,7384.35595703125,7368.38330078125,7340.782854352678,7357.428771972656,7319.978895399306,7387.506982421875,7533.224225725447,7920.514764694941,8296.140747070312
2020-03-27,7588.3701171875,7588.3701171875,7588.3701171875,7588.3701171875,7588.3701171875,0,7588.3701171875,7742.75,7651.706705729167,7627.2349853515625,7503.17197265625,7418.358317057292,7399.809988839285,7371.731262207031,7383.088921440973,7346.818017578125,7507.534249441965,7859.305733816965,8223.45467703683
2020-03-30,7889.009765625,7889.009765625,7889.009765625,7889.009765625,7889.009765625,0,7889.009765625,7738.68994140625,7791.503255208333,7711.032470703125,7679.58994140625,7567.478271484375,7485.59423828125,7460.9599609375,7429.206651475694,7433.681005859375,7473.015694754465,7833.226678757441,8161.283604213169
2020-03-31,7813.5,7813.5,7813.5,7813.5,7813.5,0,7813.5,7851.2548828125,7763.626627604167,7797.00244140625,7731.5259765625,7701.908284505208,7602.624232700893,7526.582458496094,7500.131076388889,7467.635986328125,7459.257114955357,7802.353817894345,8093.239658900669
2020-04-01,7486.2900390625,7486.2900390625,7486.2900390625,7486.2900390625,7486.2900390625,0,7486.2900390625,7649.89501953125,7729.599934895833,7694.29248046875,7734.8599609375,7690.6533203125,7671.105678013393,7588.082458496094,7522.105523003473,7498.74697265625,7475.15998186384,7736.082845052083,8016.756086077009
2020-04-02,7635.66015625,7635.66015625,7635.66015625,7635.66015625,7635.66015625,0,7635.66015625,7560.97509765625,7645.150065104167,7706.114990234375,7682.566015625,7718.32666015625,7682.797154017857,7666.674987792969,7593.368869357639,7533.460986328125,7449.47429547991,7690.424269903274,7952.076433454241
2020-04-03,7528.10986328125,7528.10986328125,7528.10986328125,7528.10986328125,7528.10986328125,0,7528.10986328125,7581.885009765625,7550.02001953125,7615.8900146484375,7670.51396484375,7656.823323567708,7691.15283203125,7663.461242675781,7651.278862847223,7586.84296875,7485.74072265625,7622.7494884672615,7896.665004185268
2020-04-06,8081.66015625,8081.66015625,8081.66015625,8081.66015625,8081.66015625,0,8081.66015625,7804.885009765625,7748.476725260417,7682.9300537109375,7709.04404296875,7739.038330078125,7717.514299665178,7739.966247558594,7709.927788628473,7694.3169921875,7529.148577008928,7594.654250372024,7869.7646484375
2020-04-07,8049.31005859375,8049.31005859375,8049.31005859375,8049.31005859375,8049.31005859375,0,8049.31005859375,8065.485107421875,7886.360026041667,7823.68505859375,7756.2060546875,7765.755045572917,7783.362862723215,7758.98876953125,7774.337782118056,7743.866015625,7591.58642578125,7599.477120535715,7840.320016043527
2020-04-08,8229.5400390625,8229.5400390625,8229.5400390625,8229.5400390625,8229.5400390625,0,8229.5400390625,8139.425048828125,8120.170084635417,7972.155029296875,7904.8560546875,7835.095052083333,7832.010044642857,7839.135009765625,7811.272243923611,7819.8580078125,7658.802141462053,7592.680478050595,7832.922520228794
