Date,Open,High,Low,Close,Adj Close,Volume,ndx_ma1,ndx_ma2,ndx_ma3,ndx_ma4,ndx_ma5,ndx_ma6,ndx_ma7,ndx_ma8,ndx_ma9,ndx_ma10,ndx_ma21,ndx_ma28,ndx_ma14,Date,day,month,year,usa_daily_cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,usa_cases_ma7,usa_cases_ma14,usa_cases_ma21,usa_cases_ma28
2020-04-08,8229.5400390625,8229.5400390625,8229.5400390625,8229.5400390625,8229.5400390625,0,8229.5400390625,8139.425048828125,8120.170084635417,7972.155029296875,7904.8560546875,7835.095052083333,7832.010044642857,7839.135009765625,7811.272243923611,7819.8580078125,7819.8580078125,7819.8580078125,7832.010044642857,2020-04-08,4.0,8.0,2020.0,45607.0,543.0,United_States_of_America,US,USA,329064917.0,America,268.5038588,53844.142857142855,52522.42857142857,49269.333333333336,47471.71428571428
2020-04-09,8238.5302734375,8238.5302734375,8238.5302734375,8238.5302734375,8238.5302734375,0,8238.5302734375,8234.03515625,8172.460123697917,8149.7601318359375,8025.430078125,7960.468424479167,7892.728655133928,7882.8250732421875,7883.512261284723,7853.998046875,7853.998046875,7853.998046875,7892.728655133928,2020-04-09,4.0,9.0,2020.0,36249.0,1053.0,United_States_of_America,US,USA,329064917.0,America,175.2869936,35044.857142857145,36891.78571428572,39038.0,39951.32142857143
2020-04-13,8332.740234375,8332.740234375,8332.740234375,8332.740234375,8332.740234375,0,8332.740234375,8285.63525390625,8266.936848958334,8212.530151367188,8186.35615234375,8076.6484375,8013.650111607143,7947.7301025390625,7932.815646701389,7928.43505859375,7928.43505859375,7928.43505859375,8013.650111607143,2020-04-13,13.0,4.0,2020.0,27620.0,1500.0,United_States_of_America,US,USA,329064917.0,America,125.97696640000001,29305.0,29221.571428571428,28719.904761904763,27842.5
2020-04-15,8591.9599609375,8591.9599609375,8591.9599609375,8591.9599609375,8591.9599609375,0,8591.9599609375,8462.35009765625,8387.743489583334,8348.192626953125,8288.41611328125,8253.956787109375,8150.264369419643,8085.9388427734375,8019.311197916667,7998.730078125,7998.730078125,7998.730078125,8150.264369419643,2020-04-15,15.0,4.0,2020.0,26922.0,2408.0,United_States_of_America,US,USA,329064917.0,America,127.6033932,29308.285714285714,28989.785714285714,28478.095238095237,27332.928571428572
2020-04-16,8757.830078125,8757.830078125,8757.830078125,8757.830078125,8757.830078125,0,8757.830078125,8674.89501953125,8560.843424479166,8480.26513671875,8430.1201171875,8366.651774088541,8325.938685825893,8226.210083007812,8160.593424479167,8093.1630859375,8093.1630859375,8093.1630859375,8325.938685825893,2020-04-16,16.0,4.0,2020.0,30148.0,4928.0,United_States_of_America,US,USA,329064917.0,America,128.5287426,30789.285714285714,28790.5,28331.380952380954,27158.85714285714
2020-04-17,8832.41015625,8832.41015625,8832.41015625,8832.41015625,8832.41015625,0,8832.41015625,8795.1201171875,8727.400065104166,8628.735107421875,8550.694140625,8497.16845703125,8433.188685825893,8389.247619628906,8293.565646701389,8227.77509765625,8227.77509765625,8227.77509765625,8433.188685825893,2020-04-17,17.0,4.0,2020.0,31667.0,2299.0,United_States_of_America,US,USA,329064917.0,America,129.39422530000002,28995.0,28588.928571428572,28044.714285714286,26824.35714285714
2020-04-20,8726.509765625,8726.509765625,8726.509765625,8726.509765625,8726.509765625,0,8726.509765625,8779.4599609375,8772.25,8727.177490234375,8648.2900390625,8579.996744791666,8529.93150111607,8469.853820800781,8426.72119140625,8336.86005859375,8336.86005859375,8336.86005859375,8529.93150111607,2020-04-20,20.0,4.0,2020.0,24601.0,1772.0,United_States_of_America,US,USA,329064917.0,America,128.2579753,29138.14285714286,28427.35714285714,27355.0,26171.35714285714
2020-04-21,8403.0,8403.0,8403.0,8403.0,8403.0,0,8403.0,8564.7548828125,8653.973307291666,8679.9375,8662.3419921875,8607.408365885416,8554.711495535714,8514.065063476562,8462.425618489584,8424.349072265624,8424.349072265624,8424.349072265624,8554.711495535714,2020-04-21,21.0,4.0,2020.0,28065.0,1857.0,United_States_of_America,US,USA,329064917.0,America,127.49946240000001,29460.428571428572,28453.85714285714,27148.190476190477,25966.785714285714
2020-04-22,8664.6298828125,8664.6298828125,8664.6298828125,8664.6298828125,8664.6298828125,0,8664.6298828125,8533.81494140625,8598.046549479166,8656.637451171875,8676.8759765625,8662.723307291666,8615.58286830357,8568.451293945312,8530.794487847223,8482.646044921876,8482.646044921876,8482.646044921876,8615.58286830357,2020-04-22,22.0,4.0,2020.0,37289.0,2524.0,United_States_of_America,US,USA,329064917.0,America,129.5282414,28671.285714285714,28063.0,26674.47619047619,25744.5
2020-04-23,8641.5,8641.5,8641.5,8641.5,8641.5,0,8641.5,8653.06494140625,8569.7099609375,8608.909912109375,8653.6099609375,8670.97998046875,8659.69140625,8618.822509765625,8576.567816840277,8541.8650390625,8541.8650390625,8541.8650390625,8659.69140625,2020-04-23,23.0,4.0,2020.0,17588.0,1721.0,United_States_of_America,US,USA,329064917.0,America,124.74651010000001,26791.714285714286,27102.428571428572,25948.714285714286,25125.964285714286
2020-04-24,8786.599609375,8786.599609375,8786.599609375,8786.599609375,8786.599609375,0,8786.599609375,8714.0498046875,8697.576497395834,8623.932373046875,8644.4478515625,8675.77490234375,8687.4970703125,8675.554931640625,8637.464409722223,8597.57099609375,8597.57099609375,8597.57099609375,8687.4970703125,2020-04-24,24.0,4.0,2020.0,26543.0,3179.0,United_States_of_America,US,USA,329064917.0,America,122.51047720000001,28182.85714285714,27569.571428571428,26100.809523809523,25329.428571428572
2020-04-27,8837.66015625,8837.66015625,8837.66015625,8837.66015625,8837.66015625,0,8837.66015625,8812.1298828125,8755.253255208334,8732.597412109375,8666.6779296875,8676.64990234375,8698.9013671875,8706.267456054688,8693.566623263889,8657.483984375,8657.483984375,8657.483984375,8698.9013671875,2020-04-27,27.0,4.0,2020.0,26857.0,1687.0,United_States_of_America,US,USA,329064917.0,America,124.0907125,27716.571428571428,26463.428571428572,25182.428571428572,24414.89285714286
2020-04-28,8677.599609375,8677.599609375,8677.599609375,8677.599609375,8677.599609375,0,8677.599609375,8757.6298828125,8767.286458333334,8735.83984375,8721.5978515625,8668.498209635416,8676.785574776786,8696.238647460938,8703.082139756945,8691.969921875,8691.969921875,8691.969921875,8676.785574776786,2020-04-28,28.0,4.0,2020.0,22541.0,1369.0,United_States_of_America,US,USA,329064917.0,America,123.336454,27447.285714285714,25992.071428571428,24802.238095238095,24190.285714285714
2020-04-29,8982.759765625,8982.759765625,8982.759765625,8982.759765625,8982.759765625,0,8982.759765625,8830.1796875,8832.673177083334,8821.15478515625,8785.223828125,8765.124837239584,8713.39271763393,8715.032348632812,8728.074327256945,8731.04990234375,8731.04990234375,8731.04990234375,8713.39271763393,2020-04-29,29.0,4.0,2020.0,24132.0,2110.0,United_States_of_America,US,USA,329064917.0,America,122.488597,27454.714285714286,25676.071428571428,24768.904761904763,24066.10714285714
2020-04-30,9000.509765625,9000.509765625,9000.509765625,9000.509765625,9000.509765625,0,9000.509765625,8991.634765625,8886.956380208334,8874.63232421875,8857.02578125,8821.104817708334,8798.751255580357,8749.282348632812,8746.752061631945,8755.31787109375,8755.31787109375,8755.31787109375,8798.751255580357,2020-04-30,30.0,4.0,2020.0,27326.0,2611.0,United_States_of_America,US,USA,329064917.0,America,121.63101540000001,27413.14285714286,25527.214285714286,24570.714285714286,23879.60714285714
2020-05-04,8834.1103515625,8834.1103515625,8834.1103515625,8834.1103515625,8834.1103515625,0,8834.1103515625,8917.31005859375,8939.126627604166,8873.744873046875,8866.5279296875,8853.20654296875,8822.96275111607,8803.171142578125,8758.707682291666,8755.487890625,8755.487890625,8755.487890625,8822.96275111607,2020-05-04,5.0,4.0,2020.0,34272.0,1344.0,United_States_of_America,US,USA,329064917.0,America,86.75795725,31942.14285714286,30299.928571428572,29169.47619047619,29493.428571428572
2020-05-05,8930.6201171875,8930.6201171875,8930.6201171875,8930.6201171875,8930.6201171875,0,8930.6201171875,8882.365234375,8921.746744791666,8937.0,8885.119921875,8877.2099609375,8864.265625,8836.419921875,8817.332139756945,8775.89892578125,8775.89892578125,8775.89892578125,8864.265625,2020-05-05,5.0,5.0,2020.0,22593.0,1252.0,United_States_of_America,US,USA,329064917.0,America,119.39346299999998,24536.85714285714,23479.714285714286,23104.619047619046,22576.785714285714
2020-05-06,8984.8603515625,8984.8603515625,8984.8603515625,8984.8603515625,8984.8603515625,0,8984.8603515625,8957.740234375,8916.5302734375,8937.525146484375,8946.5720703125,8901.743326822916,8892.588588169643,8879.339965820312,8852.913302951389,8834.0849609375,8834.0849609375,8834.0849609375,8892.588588169643,2020-05-06,5.0,6.0,2020.0,21140.0,1036.0,United_States_of_America,US,USA,329064917.0,America,89.76131600000001,21277.714285714286,22269.285714285714,25230.52380952381,29820.0
2020-05-07,9101.8798828125,9101.8798828125,9101.8798828125,9101.8798828125,9101.8798828125,0,9101.8798828125,9043.3701171875,9005.786783854166,8962.86767578125,8970.39609375,8972.456705729166,8930.334263392857,8918.75,8904.066623263889,8877.8099609375,8877.8099609375,8877.8099609375,8930.334263392857,2020-05-07,5.0,7.0,2020.0,45221.0,242.0,United_States_of_America,US,USA,329064917.0,America,177.6011267,55758.857142857145,60956.71428571428,62771.80952380953,63132.71428571428
2020-05-13,9000.080078125,9000.080078125,9000.080078125,9000.080078125,9000.080078125,0,9000.080078125,9056.26513671875,9137.150065104166,9128.33251953125,9099.6380859375,9071.468424479166,9037.560128348214,9032.928833007812,9027.3544921875,8992.37900390625,8992.37900390625,8992.37900390625,9037.560128348214,2020-05-13,13.0,5.0,2020.0,22048.0,1703.0,United_States_of_America,US,USA,329064917.0,America,108.6050143,22954.571428571428,22456.14285714286,22064.809523809523,21902.464285714286
2020-05-15,9152.6396484375,9152.6396484375,9152.6396484375,9152.6396484375,9152.6396484375,0,9152.6396484375,9076.35986328125,9088.389973958334,9141.0224609375,9133.1939453125,9108.4716796875,9083.06431361607,9051.945068359375,9046.230034722223,9039.8830078125,9039.8830078125,9039.8830078125,9083.06431361607,2020-05-15,15.0,5.0,2020.0,27143.0,1773.0,United_States_of_America,US,USA,329064917.0,America,105.77335409999999,23015.285714285714,22084.785714285714,21941.619047619046,21775.64285714286
2020-05-18,9331.9296875,9331.9296875,9331.9296875,9331.9296875,9331.9296875,0,9331.9296875,9242.28466796875,9161.5498046875,9149.27490234375,9179.20390625,9166.316569010416,9140.394252232143,9114.172485351562,9083.054470486111,9074.8,9074.8,9074.8,9140.394252232143,2020-05-18,18.0,5.0,2020.0,18873.0,808.0,United_States_of_America,US,USA,329064917.0,America,99.89396712,22112.285714285714,21607.14285714286,21532.238095238095,21665.785714285714
2020-05-19,9298.5400390625,9298.5400390625,9298.5400390625,9298.5400390625,9298.5400390625,0,9298.5400390625,9315.23486328125,9261.036458333334,9195.79736328125,9179.1279296875,9199.09326171875,9185.205636160714,9160.162475585938,9134.657769097223,9104.60302734375,9104.60302734375,9104.60302734375,9185.205636160714,2020-05-19,19.0,5.0,2020.0,21841.0,791.0,United_States_of_America,US,USA,329064917.0,America,99.66544079,22354.428571428572,21673.85714285714,21695.52380952381,21689.714285714286
2020-05-20,9485.01953125,9485.01953125,9485.01953125,9485.01953125,9485.01953125,0,9485.01953125,9391.77978515625,9371.829752604166,9317.0322265625,9253.641796875,9230.10986328125,9239.939871651786,9222.682373046875,9196.257703993055,9169.6939453125,9169.6939453125,9169.6939453125,9239.939871651786,2020-05-20,20.0,5.0,2020.0,19970.0,1568.0,United_States_of_America,US,USA,329064917.0,America,98.48907716,21957.714285714286,21619.928571428572,21551.761904761905,21622.428571428572
2020-05-21,9377.990234375,9377.990234375,9377.990234375,9377.990234375,9377.990234375,0,9377.990234375,9431.5048828125,9387.183268229166,9373.369873046875,9329.223828125,9274.366536458334,9251.235630580357,9257.196166992188,9239.938802083334,9214.43095703125,9214.43095703125,9214.43095703125,9251.235630580357,2020-05-21,21.0,5.0,2020.0,23285.0,1518.0,United_States_of_America,US,USA,329064917.0,America,98.23289670000001,21806.285714285714,21660.928571428572,21489.619047619046,21755.821428571428
2020-05-22,9413.990234375,9413.990234375,9413.990234375,9413.990234375,9413.990234375,0,9413.990234375,9395.990234375,9425.666666666666,9393.885009765625,9381.4939453125,9343.3515625,9294.312779017857,9271.579956054688,9274.617730034723,9257.3439453125,9257.3439453125,9257.3439453125,9294.312779017857,2020-05-22,22.0,5.0,2020.0,25434.0,1263.0,United_States_of_America,US,USA,329064917.0,America,97.34097543,21154.285714285714,21404.785714285714,21362.428571428572,21837.035714285714
2020-05-26,9389.98046875,9389.98046875,9389.98046875,9389.98046875,9389.98046875,0,9389.98046875,9401.9853515625,9393.986979166666,9416.7451171875,9393.1041015625,9382.908365885416,9350.01283482143,9306.271240234375,9284.735568576389,9286.15400390625,9286.15400390625,9286.15400390625,9350.01283482143,2020-05-26,26.0,5.0,2020.0,19064.0,500.0,United_States_of_America,US,USA,329064917.0,America,95.53920329,20993.285714285714,21366.071428571428,21468.14285714286,22774.071428571428
2020-05-27,9442.0498046875,9442.0498046875,9442.0498046875,9442.0498046875,9442.0498046875,0,9442.0498046875,9416.01513671875,9415.340169270834,9406.002685546875,9421.8060546875,9401.26171875,9391.357142857143,9361.517456054688,9321.357747395834,9300.4669921875,9300.4669921875,9300.4669921875,9391.357142857143,2020-05-27,27.0,5.0,2020.0,18910.0,696.0,United_States_of_America,US,USA,329064917.0,America,94.58559206,21282.14285714286,21348.785714285714,21510.666666666668,23214.285714285714
