Date,Date,day,month,year,usa_daily_cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,usa_cases_ma7,usa_cases_ma14,usa_cases_ma21,usa_cases_ma28
2020-07-17,2020-07-17,17,7,2020,76930,939,United_States_of_America,US,USA,329064917.0,America,254.1571455,67373.57142857143,66263.64285714286,63076.19047619047,60637.75
2020-07-16,2020-07-16,16,7,2020,67717,953,United_States_of_America,US,USA,329064917.0,America,247.0062769,67212.0,65744.5,63786.333333333336,61058.32142857143
2020-07-15,2020-07-15,15,7,2020,68518,861,United_States_of_America,US,USA,329064917.0,America,242.24460249999998,66707.71428571429,66229.07142857143,64309.80952380953,61833.5
2020-07-14,2020-07-14,14,7,2020,58114,400,United_States_of_America,US,USA,329064917.0,America,234.75732599999998,66902.57142857143,66362.71428571429,64905.380952380954,62140.07142857143
2020-07-13,2020-07-13,13,7,2020,57258,391,United_States_of_America,US,USA,329064917.0,America,229.7254921,66254.28571428571,66453.07142857143,65369.52380952381,62511.892857142855
2020-12-07,2020-12-07,12,7,2020,63051,717,United_States_of_America,US,USA,329064917.0,America,224.0776704,66154.57142857143,66278.28571428571,65590.66666666667,62755.82142857143
2020-11-07,2020-11-07,11,7,2020,66625,806,United_States_of_America,US,USA,329064917.0,America,217.82814359999998,65459.0,65435.28571428572,65571.71428571429,63058.5
2020-10-07,2020-10-07,10,7,2020,63004,982,United_States_of_America,US,USA,329064917.0,America,211.41664280000003,63469.57142857143,65421.57142857143,65332.28571428572,63174.53571428572
2020-09-07,2020-09-07,9,7,2020,58906,829,United_States_of_America,US,USA,329064917.0,America,204.7143178,62210.857142857145,64711.42857142857,64566.619047619046,63392.46428571428
2020-08-07,2020-08-07,8,7,2020,57473,1174,United_States_of_America,US,USA,329064917.0,America,197.24861769999998,60633.0,63670.357142857145,64363.71428571428,63390.607142857145
2020-07-07,2020-07-07,7,7,2020,49990,359,United_States_of_America,US,USA,329064917.0,America,190.33417649999998,59472.42857142857,63187.5,64065.95238095238,63547.142857142855
2020-06-07,2020-06-07,6,7,2020,49093,271,United_States_of_America,US,USA,329064917.0,America,184.68179640000002,58306.0,62280.142857142855,63737.380952380954,63603.642857142855
2020-05-07,2020-05-07,5,7,2020,45221,242,United_States_of_America,US,USA,329064917.0,America,177.6011267,55758.857142857145,60956.71428571428,62771.80952380953,63132.71428571428
2020-04-07,2020-04-07,4,7,2020,54442,694,United_States_of_America,US,USA,329064917.0,America,174.23917600000001,54018.42857142857,59738.71428571428,61629.666666666664,62683.392857142855
2020-03-07,2020-03-07,3,7,2020,53399,678,United_States_of_America,US,USA,329064917.0,America,166.78380819999998,52646.28571428572,58057.92857142857,61163.142857142855,62160.78571428572
2020-02-07,2020-02-07,2,7,2020,52048,652,United_States_of_America,US,USA,329064917.0,America,158.99294419999998,51666.57142857143,56938.71428571428,60363.142857142855,61341.607142857145
2020-01-07,2020-01-07,1,7,2020,43880,1270,United_States_of_America,US,USA,329064917.0,America,150.9431648,49724.71428571428,55178.857142857145,59021.80952380953,60703.96428571428
2020-06-30,2020-06-30,30,6,2020,41556,336,United_States_of_America,US,USA,329064917.0,America,144.81215569999998,48519.857142857145,53996.142857142855,58298.28571428572,60179.42857142857
2020-06-29,2020-06-29,29,6,2020,38673,265,United_States_of_America,US,USA,329064917.0,America,138.2484053,47031.28571428572,52668.642857142855,57197.19047619047,59560.857142857145
2020-06-28,2020-06-28,28,6,2020,42486,500,United_States_of_America,US,USA,329064917.0,America,132.4349627,46640.57142857143,51199.71428571428,56184.666666666664,58739.0
